,link,price,beds,baths,sqft,parking_features,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size_sqft,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,has_hoa,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn
84 Kingsgate Rd,https://www.redfin.com/OR/Lake-Oswego/84-Kingsgate-Rd-97035/home/26021175,"$630,000",3,2.5,"1,701","Driveway, On Street",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,,"4,252 square feet",Residential,888,No,1987,Gas,Public Sewer,No,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
17522 Bryant Rd,https://www.redfin.com/OR/Lake-Oswego/17522-Bryant-Rd-97035/home/25946953,"$1,745,000",4,4,"3,616",Driveway,3,Attached,3,Gas,Yes,2,Crawl Space,Composition,"18,295",0.42 acres,Residential,"1,592",No,2018,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
5722 Fernbrook Way,https://www.redfin.com/OR/Lake-Oswego/5722-Fernbrook-Way-97035/home/25999585,"$680,000",3,2,"1,580",Driveway,,"Attached, Partially Converted to Living Space",,Electricity,Yes,1,Crawl Space,Composition,"10,890",0.25 acres,Residential,"1,580",Yes,1964,Gas,Standard Septic,No,,No,1.0,Single Family Residential,—,Clackamas County,No
100 Kerr Pkwy #54,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-54/home/25822399,"$165,000",1,1,617,,,Other,,Electricity,,,,Composition,,—,Residential,617,No,1970,Electricity,Public Sewer,No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4047 Jefferson Pkwy,https://www.redfin.com/OR/Lake-Oswego/4047-Jefferson-Pkwy-97035/home/26017370,"$355,000",3,2.5,"1,259",Driveway,1,Attached,1,Electricity,Yes,1,Crawl Space,Tile,,—,Residential,618,Yes,1979,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
317 Cervantes,https://www.redfin.com/OR/Lake-Oswego/317-Cervantes-97035/home/26359940,"$340,000",2,2,"1,209","Driveway, On Street",1,Other,1,Electricity,Yes,1,Storage Space,Tile,,—,Residential,"1,209",Yes,1979,Electricity,Public Sewer,No,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
154 Oswego Smt #22,https://www.redfin.com/OR/Lake-Oswego/154-Oswego-Smt-97035/unit-22/home/26479442,"$275,000",2,2,"1,506",Deeded,1,Attached,1,Electricity,Yes,1,,Tile,,—,Residential,"1,506",Yes,1979,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
53 Touchstone,https://www.redfin.com/OR/Lake-Oswego/53-Touchstone-97035/home/25983479,"$880,000",5,3.5,"3,079","Driveway, On Street",2,Attached,2,Gas,Yes,1,No,Composition,"9,147","9,147 square feet",Residential,"2,513",Yes,1971,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
123 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/123-Oswego-Smt-97035/home/26538801,"$279,000",2,2,"1,212",Off Street,1,Attached,1,Electricity,,,,"Other, Tile",,—,Residential,"1,212",No,1978,Electricity,"All Landscaping, Exterior Maintenance, Gym, Lap Pool, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
4 Touchstone #77,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-77/home/26070589,"$307,500",3,2.5,"1,351","Carport, Other",,Other,,Electricity,,,,Composition,,—,Residential,675,Yes,1970,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4 Touchstone Dr #147,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-147/home/25736708,"$321,000",3,2.5,"1,351","Carport, Covered",,None,,Electricity,,,Daylight,Composition,,—,Residential,676,Yes,1970,Electricity,"Athletic Court, Basketball Court, Gym, Pool, Recreation Facilities, Sewer, Trash",Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4375 Southshore Blvd,https://www.redfin.com/OR/Lake-Oswego/4375-Southshore-Blvd-97035/home/25755143,"$10,500,000",5,5.5,"6,147",Driveway,4,"Attached, Detached",4,Tankless,Yes,3,"Exterior Entry, Finished",Shake,"43,560",1 acres,Residential,"3,282",Yes,1935,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
15112 Quarry Rd,https://www.redfin.com/OR/Lake-Oswego/15112-Quarry-Rd-97035/home/25861144,"$1,620,000",6,4.5,"3,953","Driveway, Off Street",2,Oversized,2,"ENERGY STAR Qualified Equipment, Tankless",Yes,1,Crawl Space,Metal,"17,424",0.4 acres,Residential,"2,075",Yes,1947,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
17700 Bryant Rd,https://www.redfin.com/OR/Lake-Oswego/17700-Bryant-Rd-97035/home/26086184,"$635,689",3,1.5,"1,572",,,,,,,,,,,0.33 acres,,,,1960,,,,,,1.0,Single Family Residential,—,Clackamas County,
18538 Hallberg Ct,https://www.redfin.com/OR/Lake-Oswego/18538-Hallberg-Ct-97035/home/25909263,"$535,000",3,1,870,Driveway,2,Attached,2,Electricity,,,Crawl Space,Composition,,"10,686 square feet",Residential,870,No,1966,Electricity,Standard Septic,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
3926 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3926-Carman-Dr-97035/home/25749190,"$375,000",2,2.5,"1,259",Parking Pad,1,Attached,1,Electricity,Yes,1,Crawl Space,,,—,Residential,633,No,1997,Electricity,"All Landscaping, Commons, Exterior Maintenance, Insurance, Management, Sewer, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
5132 Timbergrove St,https://www.redfin.com/OR/Lake-Oswego/5132-Timbergrove-St-97035/home/25924084,"$612,000",3,2,"1,439",,2,Attached,2,Gas,Yes,1,Crawl Space,Composition,,"10,235 square feet",Residential,"1,439",No,1968,Gas,Septic Tank,No,,No,1.0,Single Family Residential,—,Clackamas County,No
29 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/29-Oswego-Smt-97035/home/26427053,"$209,000",1,1,669,Off Street,1,Attached,1,Electricity,,,,Tile,,—,Residential,669,No,1978,Electricity,"All Landscaping, Athletic Court, Exterior Maintenance, Gym, Lap Pool, Maintenance Grounds, Management, Recreation Facilities, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
25 Crestfield Ct,https://www.redfin.com/OR/Lake-Oswego/25-Crestfield-Ct-97035/home/188616016,"$289,900",2,2,995,Carport,1,Undeeded,1,Electricity,Yes,1,,Composition,,—,Residential,995,Yes,—,Electricity,Public Sewer,No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4582 Trillium Woods,https://www.redfin.com/OR/Lake-Oswego/4582-Trillium-Woods-97035/home/25985057,"$790,000",3,2.5,"1,927","Attached Garage, Off Street",1,,1,,,,None,Composition,,"2,580 square feet",Residential,,,2012,,Sewer Connected,,Has HOA,,—,Single Family Residential,—,Clackamas County,
25 Crestfield Ct #25,https://www.redfin.com/OR/Lake-Oswego/25-Crestfield-Ct-97035/unit-25/home/26060044,"$292,122",2,2,989,,,,,,,,,Concrete Tile,,—,,,,1980,,,,,,—,Condo/Co-op,—,Clackamas County,
4 Touchstone #126,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-126/home/25982371,"$268,900",2,2,984,"Deeded, Off Street",,Attached,,Electricity,,,,Composition,,—,Residential,725,Yes,1970,Electricity,"Electricity, Gym, Maintenance Grounds, Management, Meeting Room, Pool, Racquetball, Sewer, Tennis Court(s), Trash, Water",Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
146 Oswego,https://www.redfin.com/OR/Lake-Oswego/146-Oswego-Smt-97035/home/26621877,"$309,900",2,2,"1,212",Off Street,1,Attached,1,Electricity,Yes,1,,"Shake, Tile",,—,Residential,"1,212",Yes,1978,Electricity,"Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
100 Kerr Pkwy #3,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-3/home/25983649,"$252,565",—,—,823,,,,,,,,,,,—,,,,1970,,,,,,—,Condo/Co-op,—,Clackamas County,
5320 Chinook Ct,https://www.redfin.com/OR/Lake-Oswego/5320-Chinook-Ct-97035/home/25946962,"$560,000",3,1.5,"1,008",Driveway,2,Attached,2,,Yes,1,Crawl Space,Composition,,0.28 acres,Residential,"1,008",No,1973,Electricity,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
14186 Kimberly Cir,https://www.redfin.com/OR/Lake-Oswego/14186-Kimberly-Cir-97035/home/25755588,"$1,100,000",4,3,"3,226",Driveway,3,Attached,3,Gas,Yes,2,Crawl Space,Composition,,"8,318 square feet",Residential,"1,584",No,1998,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
6238 Mcewan Rd,https://www.redfin.com/OR/Lake-Oswego/6238-McEwan-Rd-97035/home/25947629,"$595,000",3,1,"1,170","Driveway, On Street",1,Attached,1,Gas,Yes,1,Crawl Space,Composition,"10,018","10,157 square feet",Residential,"1,170",No,1964,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
4055 Jefferson Pkwy,https://www.redfin.com/OR/Lake-Oswego/4055-Jefferson-Pkwy-97035/unit-8/home/26023514,"$329,000",2,2.5,"1,210",,1,Attached,1,Electricity,Yes,1,,Tile,,—,Residential,629,Yes,1979,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4 Touchstone #110,https://www.redfin.com/OR/Lake-Oswego/4-Touchstone-97035/unit-110/home/25980794,"$275,000",2,2,989,Off Street,,Attached,,Electricity,,,,Composition,,—,Residential,689,Yes,1970,Electricity,"Exterior Maintenance, Gym, Maintenance Grounds, Management, Pool, Sewer, Trash, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4740 Lamont Ct,https://www.redfin.com/OR/Lake-Oswego/4740-Lamont-Ct-97035/home/26079651,"$924,229",3,2,"1,808",,,,,,,,,,,"10,003 square feet",,,,1975,,,,,,1.0,Single Family Residential,—,Clackamas County,
4737 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/4737-Lakeview-Blvd-97035/home/25980646,"$926,000",4,2.5,"2,673","Driveway, Off Street",2,Attached,2,Gas,Yes,1,No,Composition,"6,534","6,534 square feet",Residential,"1,343",Yes,1999,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
5142 Rosewood St,https://www.redfin.com/OR/Lake-Oswego/5142-Rosewood-St-97035/home/25766073,"$812,701",3,2.5,"1,784",,,,,,,,,,,"5,748 square feet",,,,1991,,,,,,2.0,Single Family Residential,—,Clackamas County,
3159 Douglas Cir,https://www.redfin.com/OR/Lake-Oswego/3159-Douglas-Cir-97035/home/25983913,"$1,765,000",6,4.5,"4,571",Driveway,4,"Attached, Tandem",4,Gas,Yes,2,Crawl Space,Composition,,0.37 acres,Residential,"1,901",Yes,1992,Gas,Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
5464 Southwood Dr,https://www.redfin.com/OR/Lake-Oswego/5464-Southwood-Dr-97035/home/25944872,"$1,425,000",5,3,"3,687",,3,Attached,3,Gas,Yes,2,Crawl Space,Composition,,"8,874 square feet",Residential,"1,738",No,1998,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
10 Greenridge Ct,https://www.redfin.com/OR/Lake-Oswego/10-Greenridge-Ct-97035/home/26030775,"$615,000",2,2,"2,063",Carport,1,Detached,1,Tankless,Yes,1,Crawl Space,Composition,,"2,338 square feet",Residential,836,Yes,1969,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Front Yard Landscaping, Gym, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Road Maintenance, Sauna, Sewer, Spa/Hot Tub, Tennis Court(s), Water, Weight Room",Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
4554 Wildwood St,https://www.redfin.com/OR/Lake-Oswego/4554-Wildwood-St-97035/home/26011155,"$1,365,000",4,2,"2,206",,,,,,,,,,,0.26 acres,,,,1966,,,,,,1.0,Single Family Residential,—,Clackamas County,
22 Aquinas St,https://www.redfin.com/OR/Lake-Oswego/22-Aquinas-St-97035/home/26513662,"$595,000",3,2,"1,875",,2,,2,,Yes,1,,,"5,662","5,720 square feet",Residential,"1,610",No,1984,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,1984,Multnomah County,No
3351 Fir Ridge Rd,https://www.redfin.com/OR/Lake-Oswego/3351-Fir-Ridge-Rd-97035/home/25783779,"$1,750,000",4,4.5,"4,265","Driveway, On Street",2,Attached,2,Gas,Yes,1,"Finished, Storage Space",Composition,"7,405","7,294 square feet",Residential,"1,324",No,2023,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,Yes
4261 Country Woods Ct,https://www.redfin.com/OR/Lake-Oswego/4261-Country-Woods-Ct-97035/home/26027503,"$708,000",2,2,"1,608","Driveway, Off Street",2,"Attached, Extra Deep, Oversized",2,Gas,Yes,1,Crawl Space,Composition,"9,147","9,359 square feet",Residential,"1,608",Yes,1981,Gas,Public Sewer,No,,No,1.0,Single Family Residential,—,Clackamas County,No
6080 Burma Rd,https://www.redfin.com/OR/Lake-Oswego/6080-Burma-Rd-97035/home/25998324,"$940,000",3,2,"2,134",Driveway,5,"Attached, Detached, Oversized",5,Gas,Yes,1,Crawl Space,Composition,"13,068",0.3 acres,Residential,"2,134",No,1956,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
2121 Wembley Park Rd,https://www.redfin.com/OR/Lake-Oswego/2121-Wembley-Park-Rd-97034/home/26055635,"$2,599,900",5,5.5,"5,025",Off Street,3,,3,"Recirculating, Tankless",Yes,2,"Finished, Storage Space",Composition,"12,632",0.29 acres,Residential,"1,787",No,2023,"Electricity, Gas",Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,Yes
23 Tanglewood Dr,https://www.redfin.com/OR/Lake-Oswego/23-Tanglewood-Dr-97035/home/25940174,"$785,000",5,2.5,"2,522","Driveway, Secured",2,"Attached, Oversized",2,"Gas, Tank",Yes,2,"Daylight, Finished, Storage Space",Shake,"8,276","8,344 square feet",Residential,"1,584",Yes,1968,Gas,Public Sewer,No,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
5754 Charles Cir,https://www.redfin.com/OR/Lake-Oswego/5754-Charles-Cir-97035/home/26004817,"$940,000",3,2.5,"2,604",Driveway,2,Attached,2,Gas,Yes,1,Crawl Space,Shingle,"9,583","9,511 square feet",Residential,"1,407",Yes,1985,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
360 Cervantes Cir Unit 14F,https://www.redfin.com/OR/Lake-Oswego/360-Cervantes-Cir-97035/unit-14F/home/26622883,"$223,220",2,1,832,,,,,,,,,,,—,,,,1980,,,,,,2.0,Condo/Co-op,1980,Multnomah County,
360 Cervantes Cir,https://www.redfin.com/OR/Lake-Oswego/360-Cervantes-Cir-97035/home/172123221,"$257,600",2,1,832,,1,Other,1,Electricity,Yes,1,,Tile,,—,Residential,416,Yes,—,Electricity,"Exterior Maintenance, Gym, Insurance, Lap Pool, Management, Pool, Sewer, Spa/Hot Tub, Tennis Court(s), Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
4912 Hampton Ct,https://www.redfin.com/OR/Lake-Oswego/4912-Hampton-Ct-97035/home/26009186,"$785,000",3,2.5,"2,039",Driveway,2,Attached,2,Electricity,Yes,1,Crawl Space,"Shake, Shingle","7,840","7,588 square feet",Residential,"2,039",Yes,1984,Gas,Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
6336 Frost St,https://www.redfin.com/OR/Lake-Oswego/6336-Frost-St-97035/home/25982047,"$770,000",4,3,"2,200","Driveway, RV Access/Parking",2,Attached,2,Gas,Yes,2,Daylight,Composition,"10,454","10,516 square feet",Residential,"1,100",No,1959,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
19 Churchill Downs,https://www.redfin.com/OR/Lake-Oswego/19-Churchill-97035/home/25780905,"$885,000",4,3,"2,175","Driveway, On Street",2,Attached,2,Tankless,Yes,1,Crawl Space,Composition,"10,018","10,000 square feet",Residential,"2,175",No,1970,"Electricity, Gas",Public Sewer,Yes,Yes,No,1.0,Single Family Residential,1970,Multnomah County,No
5325 Oakridge Rd,https://www.redfin.com/OR/Lake-Oswego/5325-Oakridge-Rd-97035/home/26032967,"$660,050",4,2,"1,201",Driveway,2,"Attached, Oversized",2,Gas,,,Crawl Space,Built-Up,"10,454","10,393 square feet",Residential,"1,201",Yes,1970,Gas,Public Sewer,No,,No,1.0,Single Family Residential,—,Clackamas County,No
141 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/141-Oswego-Smt-97035/home/26672136,"$260,000",2,2,"1,140","Driveway, Off Street",1,Attached,1,Electricity,Yes,1,,Tile,,—,Residential,537,Yes,1978,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Trash, Utilities, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1978,Multnomah County,No
6313 Alyssa Ter,https://www.redfin.com/OR/Lake-Oswego/6313-Alyssa-Ter-97035/home/26034653,"$494,000",3,2.5,"1,534","Driveway, On Street",1,Attached,1,"Electricity, Gas",Yes,1,Crawl Space,Composition,,"1,950 square feet",Residential,637,Yes,2001,Gas,Public Sewer,Yes,Yes,No,—,Single Family Residential,—,Clackamas County,No
5271 Chinook Ct,https://www.redfin.com/OR/Lake-Oswego/5271-Chinook-Ct-97035/home/25946968,"$660,000",3,2,"1,390","Driveway, RV Access/Parking",2,Attached,2,"ENERGY STAR Qualified Equipment, Gas",Yes,2,Crawl Space,Composition,"10,018","9,970 square feet",Residential,"1,390",No,1973,Gas,Septic Tank,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
174 Oswego Smt,https://www.redfin.com/OR/Lake-Oswego/174-Oswego-Smt-97035/home/26482310,"$330,000",2,2,"1,506",Other,1,None,1,Electricity,Yes,1,,Flat,,—,Residential,"1,506",Yes,1979,Electricity,"Basketball Court, Exterior Maintenance, Gym, Lap Pool, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Sauna, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",Yes,Yes,No,1.0,Condo/Co-op,1979,Multnomah County,No
5948 Bay Point Dr,https://www.redfin.com/OR/Lake-Oswego/5948-Bay-Point-Dr-97035/home/25849579,"$875,000",4,2.5,"2,421","Driveway, Off Street",2,Attached,2,Gas,Yes,1,Crawl Space,"Composition, Shingle",,"6,862 square feet",Residential,"1,193",No,1990,Gas,Public Sewer,Yes,,No,2.0,Single Family Residential,—,Clackamas County,No
3492 Devonshire Dr,https://www.redfin.com/OR/Lake-Oswego/3492-Devonshire-Dr-97035/home/26041877,"$608,000",3,2.5,"1,556","Driveway, Secured",1,Attached,1,Gas,Yes,1,Crawl Space,Tile,,"3,266 square feet",Residential,906,Yes,1983,Gas,Public Sewer,Yes,,,1.0,Single Family Residential,—,Clackamas County,No
5364 Denton Dr,https://www.redfin.com/OR/Lake-Oswego/5364-Denton-Dr-97035/home/25782101,"$1,305,000",4,2.5,"3,143",Driveway,3,Attached,3,Gas,Yes,2,Crawl Space,Composition,,"8,505 square feet",Residential,"1,572",No,1992,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
13 Morningview Cir,https://www.redfin.com/OR/Lake-Oswego/13-Morningview-Cir-97035/home/26402524,"$820,000",3,2.5,"2,519",Driveway,2,Attached,2,Gas,,,Crawl Space,Composition,"5,662","5,762 square feet",Residential,"1,347",No,1997,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1997,Multnomah County,No
100 Kerr Pkwy #36,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-36/home/26057661,"$180,000",1,1,617,"Other, Parking Pad",,Other,,Electricity,,,,Composition,,—,Residential,617,Yes,1970,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Management, Meeting Room, Pool, Recreation Facilities, Sewer, Tennis Court(s), Trash, Weight Room",Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
100 Kerr Pkwy #8,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-8/home/25850303,"$159,900",1,1,617,"Carport, Off Street",1,Other,1,Electricity,,,,Composition,,—,Residential,617,Yes,1970,Electricity,"Commons, Exterior Maintenance, Pool, Sewer, Trash, Water",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
2815 SW Orchard Hill Pl,https://www.redfin.com/OR/Lake-Oswego/2815-Orchard-Hill-Pl-97035/home/26485233,"$900,000",4,3,"2,911","Driveway, On Street",21,Attached,21,Gas,Yes,2,"Daylight, Exterior Entry, Finished",Composition,"10,018","10,000 square feet",Residential,"1,489",Yes,1985,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,1985,Multnomah County,No
23 Becket,https://www.redfin.com/OR/Lake-Oswego/23-Becket-St-97035/home/26552952,"$920,000",5,4,"4,478","Driveway, Off Street",3,Attached,3,Gas,Yes,3,"Crawl Space, Exterior Entry, Storage Space",Shake,"9,147","9,105 square feet",Residential,"1,810",Yes,1988,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1988,Multnomah County,No
3853 Carman Dr,https://www.redfin.com/OR/Lake-Oswego/3853-Carman-Dr-97035/home/188638049,"$1,088,094",3,2.5,"2,531",Driveway,2,Attached,2,Electricity,Yes,1,,Composition,,"5,590 square feet",Residential,"1,009",No,—,Gas,Public Sewer,Yes,,No,—,Single Family Residential,—,Clackamas County,Yes
16538 SW Carnegie Ave,https://www.redfin.com/OR/Lake-Oswego/16538-Carnegie-Ave-97035/home/25945610,"$520,000",3,1.5,"1,189",Driveway,2,Attached,2,,Yes,1,Crawl Space,Composition,,0.26 acres,Residential,"1,189",No,1969,Gas,Septic Tank,No,,No,1.0,Single Family Residential,—,Clackamas County,No
40 Condolea Ct,https://www.redfin.com/OR/Lake-Oswego/40-Condolea-Ct-97035/home/25740981,"$1,175,000",3,3,"2,958",,,,,,,,,,,—,,,,1972,,,,,,2.0,Condo/Co-op,1972,Multnomah County,
100 Kerr Pkwy #24,https://www.redfin.com/OR/Lake-Oswego/100-Kerr-Pkwy-97035/unit-24/home/26040547,"$150,000",1,1,617,"Covered, Parking Pad",,Attached,,Electricity,,,,Composition,,—,Residential,617,No,1970,Electricity,"All Landscaping, Athletic Court, Basketball Court, Commons, Exterior Maintenance, Gym, Insurance, Lap Pool, Maintenance Grounds, Meeting Room, Pool, Recreation Facilities, Sewer, Tennis Court(s), Trash, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
5225 Jean Rd #501,https://www.redfin.com/OR/Lake-Oswego/5225-Jean-Rd-97035/unit-501/home/26075798,"$440,000",3,2,"1,500",Driveway,1,Attached,1,"Electricity, Tank",Yes,1,,Composition,,—,Residential,"1,500",No,1993,Electricity,Public Sewer,Yes,Yes,No,—,Condo/Co-op,—,Clackamas County,No
5651 LA Mesa Ct,https://www.redfin.com/OR/Lake-Oswego/5651-La-Mesa-Ct-97035/home/26001876,"$1,175,000",4,2.5,"2,718",Driveway,3,Attached,3,Gas,Yes,2,Crawl Space,Composition,"10,454","10,328 square feet",Residential,"1,450",No,1991,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
6355 SW Dawn St,https://www.redfin.com/OR/Lake-Oswego/6355-SW-Dawn-St-97035/home/25982396,"$610,000",3,2,"1,268",Driveway,2,Attached,2,Gas,Yes,1,Crawl Space,Composition,,"10,664 square feet",Residential,"1,268",No,1965,Gas,Septic Tank,No,,No,1.0,Single Family Residential,—,Clackamas County,No
5512 SW Childs Rd,https://www.redfin.com/OR/Lake-Oswego/5512-Childs-Rd-97035/home/25924204,"$604,000",4,2,"1,928",Driveway,,,,Gas,Yes,1,Crawl Space,Composition,"10,890",0.25 acres,Residential,"1,928",Yes,1963,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
4537 Heritage Ln,https://www.redfin.com/OR/Lake-Oswego/4537-Heritage-Ln-97035/home/25789980,"$759,000",3,2.5,"1,619",Driveway,2,Attached,2,Electricity,Yes,2,Crawl Space,Composition,"12,632",0.29 acres,Residential,"1,619",Yes,1959,Gas,Public Sewer,Yes,,No,1.0,Single Family Residential,—,Clackamas County,No
4000 Carman Dr Unit D57,https://www.redfin.com/OR/Lake-Oswego/4000-Carman-Dr-97035/unit-D57/home/25851975,"$291,000",2,2,836,"Carport, Off Street",,Undeeded,,Electricity,Yes,1,,Tile,,—,Residential,836,Yes,1988,Electricity,"All Landscaping, Commons, Exterior Maintenance, Gym, Insurance, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,Yes,No,—,Condo/Co-op,—,Clackamas County,No
27 Oriole Ln,https://www.redfin.com/OR/Lake-Oswego/27-Oriole-Ln-97035/home/25764297,"$650,000",4,2.5,"1,851",,2,Attached,2,"Gas, Tankless",Yes,1,,Composition,"3,920","4,000 square feet",Residential,837,No,1982,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,1982,Multnomah County,No
18434 Sandpiper Cir,https://www.redfin.com/OR/Lake-Oswego/18434-Sandpiper-Cir-97035/home/25944085,"$824,900",4,2.5,"1,849","Driveway, Off Street",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,,"9,256 square feet",Residential,"1,849",No,1975,Gas,Public Sewer,Yes,Yes,No,1.0,Single Family Residential,—,Clackamas County,No
13869 Amberwood Cir,https://www.redfin.com/OR/Lake-Oswego/13869-Amberwood-Cir-97035/home/26006581,"$1,575,000",4,2.5,"3,405",Driveway,3,Attached,3,Gas,Yes,2,Crawl Space,Tile,"10,454","10,577 square feet",Residential,"1,795",No,1993,Gas,Public Sewer,Yes,Yes,No,2.0,Single Family Residential,—,Clackamas County,No
4340 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/4340-Lakeview-Blvd-97035/home/183781840,"$3,199,056",5,4.5,"3,915",,,,,,,,,,,"7,405 square feet",,,,2022,,,,,,—,Single Family Residential,—,Clackamas County,
