,link,price,beds,baths,sqft,parking_total,garage_type,garage_spaces,hot_water_desc,fireplace_yn,fireplace_total,basement,roof,lot_size,property_type,main_level_area,view_yn,yr_built,fuel_desc,sewer,cooling_yn,senior_community_yn,stories,style,yr_renovated,county,new_construction_yn,parking_features,has_hoa,lot_size_sqft
18210 SW Cheyenne Way,https://www.redfin.com/OR/Tualatin/18210-SW-Cheyenne-Way-97062/home/26679246,"$563,000",3,2,"1,736",2,Attached,2,"Gas, Tank",Yes,1,"Crawl Space, Hatch Door","Composition, Shingle",0.29 acres,Residential,"1,736",No,1970,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,1975,Washington County,No,"Covered, Driveway",,"12,632"
22493 SW 112th Ave,https://www.redfin.com/OR/Tualatin/22493-SW-112th-Ave-97062/home/25824871,"$655,000",3,2.5,"2,234",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"5,663 square feet",Residential,"1,101",Yes,2004,Gas,Public Sewer,Yes,No,—,Single Family Residential,2004,Washington County,No,"Driveway, EV Ready",Yes,"5,662"
8488 SW Blake St,https://www.redfin.com/OR/Tualatin/8488-SW-Blake-St-97062/home/26733200,"$507,000",3,2,"1,169",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,169",No,1983,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,1983,Washington County,No,"Driveway, Off Street",,"6,969"
8720 SW Tualatin Rd #116,https://www.redfin.com/OR/Tualatin/8720-SW-Tualatin-Rd-97062/unit-116/home/25864147,"$260,000",2,2,"1,022",1,Deeded,1,Electricity,Yes,1,,Flat,—,Residential,"1,022",Yes,1987,Electricity,"All Landscaping, Commons, Exterior Maintenance, Gas, Insurance, Management, Pool, Sewer, Trash, Water",No,No,—,Condo/Co-op,1987,Washington County,No,"Deeded, Secured",Yes,
10415 SW Rayborn Ct,https://www.redfin.com/OR/Tualatin/10415-SW-Rayborn-Ct-97062/home/104416659,"$830,000",3,3,"3,012",3,Attached,3,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,"1,894",No,2016,Gas,Public Sewer,Yes,No,—,Single Family Residential,2016,Washington County,No,Driveway,,"6,098"
7155 SW Sagert St #109,https://www.redfin.com/OR/Tualatin/7155-SW-Sagert-St-97062/unit-109/home/25759480,"$299,000",2,2.5,"1,129",1,None,1,Electricity,,,,Composition,—,Residential,485,No,1996,Electricity,"Commons, Exterior Maintenance, Gym, Insurance, Sewer, Spa/Hot Tub, Trash, Water",No,No,—,Condo/Co-op,1996,Washington County,No,Driveway,Yes,
23007 SW 104th Ter,https://www.redfin.com/OR/Tualatin/23007-SW-104th-Ter-97062/home/25749162,"$700,000",5,2.5,"3,070",2,"Attached, Extra Deep",2,"Gas, Tank",Yes,1,Crawl Space,Composition,"5,227 square feet",Residential,"1,261",No,2006,Gas,Public Sewer,Yes,No,—,Single Family Residential,2006,Washington County,No,"Driveway, On Street",Yes,"5,227"
9337 SW Tonopah St,https://www.redfin.com/OR/Tualatin/9337-SW-Tonopah-St-97062/home/25759448,"$529,500",3,2.5,"1,332",2,Attached,2,Electricity,Yes,1,Crawl Space,Composition,"7,405 square feet",Residential,568,No,1986,Electricity,Public Sewer,No,No,—,Single Family Residential,1991,Washington County,No,"Driveway, On Street",,"7,405"
20000 SW 61st Ter,https://www.redfin.com/OR/Tualatin/20000-SW-61st-Ter-97062/home/145567673,"$825,000",4,3.5,"3,216",3,"Attached, Tandem",3,Gas,Yes,1,Crawl Space,Composition,"6,611 square feet",Residential,"1,761",No,2018,Gas,Public Sewer,Yes,No,—,Single Family Residential,—,Clackamas County,No,"Driveway, On Street",Yes,
23399 SW Landon Pl Unit H154,https://www.redfin.com/OR/Tualatin/23399-SW-Landon-Pl-97062/unit-H154/home/192620773,"$603,400",4,2.5,"2,288",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,029",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
20967 SW Meadow Way,https://www.redfin.com/OR/Tualatin/20967-SW-Meadow-Way-97062/home/25734133,"$1,950,000",5,3.5,"4,875",3,"Detached, Extra Deep, Oversized",3,Electricity,Yes,4,"Daylight, Full Basement","Membrane, Metal",1.29 acres,Residential,"1,688",Yes,1981,Gas,Septic Tank,Yes,No,1.0,Single Family Residential,—,Clackamas County,No,"Driveway, EV Ready",Yes,"56,192"
7187 SW Sagert St #104,https://www.redfin.com/OR/Tualatin/7187-SW-Sagert-St-97062/unit-104/home/26734691,"$290,000",2,2.5,"1,129",1,Attached,1,Electricity,,,,Composition,—,Residential,485,Yes,1996,Electricity,"All Landscaping, Cable TV, Commons, Exterior Maintenance, Laundry, Maintenance Grounds, Management, Party Room, Pool, Recreation Facilities, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,No,—,Condo/Co-op,1996,Washington County,No,Driveway,Yes,
10055 SW Paulina Dr,https://www.redfin.com/OR/Tualatin/10055-SW-Paulina-Dr-97062/home/26708863,"$690,520",4,2.5,"2,226",2,Attached,2,Gas,Yes,2,"Crawl Space, Finished",Composition,0.25 acres,Residential,"1,794",No,1976,Gas,Public Sewer,Yes,No,—,Single Family Residential,1996,Washington County,No,Driveway,,"10,890"
22330 SW Mandan Dr,https://www.redfin.com/OR/Tualatin/22330-SW-Mandan-Dr-97062/home/26562991,"$525,000",3,2,"1,442",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"7,841 square feet",Residential,"1,442",No,1996,Gas,Public Sewer,Yes,,—,Single Family Residential,2001,Washington County,No,"Driveway, On Street",,"7,840"
23355 SW Landon Pl,https://www.redfin.com/OR/Tualatin/23355-SW-Landon-PL-97062/home/191488560,"$604,900",4,2.5,"2,479",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,012",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
23340 SW Vermillion Dr Unit H108,https://www.redfin.com/OR/Tualatin/23340-SW-Vermillion-Dr-97062/unit-H108/home/192618615,"$429,400",3,3.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,662,Yes,—,Gas,Public Sewer,No,No,—,Townhouse,—,Washington County,Yes,,Yes,
23335 SW Landon Pl,https://www.redfin.com/OR/Tualatin/23335-SW-Landon-PL-97062/home/191549578,"$584,900",4,2.5,"2,288",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,029",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
17335 SW Cheyenne Way,https://www.redfin.com/OR/Tualatin/17335-SW-Cheyenne-Way-97062/home/26715295,"$625,000",3,2,"1,711",2,Attached,2,Gas,,,Crawl Space,Composition,"8,276 square feet",Residential,"1,711",No,1972,Gas,Public Sewer,Yes,No,—,Single Family Residential,1992,Washington County,No,Driveway,,"8,276"
20850 SW 87th Ct,https://www.redfin.com/OR/Tualatin/20850-SW-87th-Ct-97062/home/26664878,"$595,000",5,3,"2,510",2,Attached,2,"Electricity, Solar Hot water",Yes,1,Finished,Composition,"7,841 square feet",Residential,"1,605",No,1974,Gas,Public Sewer,Yes,No,—,Single Family Residential,1979,Washington County,No,"Driveway, On Street",,"7,840"
8609 SW Logan Ln,https://www.redfin.com/OR/Tualatin/8609-SW-Logan-Ln-97062/home/25764680,"$725,000",4,2.5,"2,322",2,Attached,2,"Gas, Tank",,,,,"6,098 square feet",Residential,"2,322",No,2006,Gas,Public Sewer,Yes,No,—,Single Family Residential,2006,Washington County,No,,Yes,"6,098"
23459 SW Darby Ave,https://www.redfin.com/OR/Tualatin/23459-SW-Darby-Ave-97062/home/191488545,"$603,400",4,2.5,"2,288",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,029",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
9289 SW Tanoak Ln,https://www.redfin.com/OR/Tualatin/9289-SW-Tanoak-Ln-97062/home/26685795,"$3,150/mo",3,3,"1,736",,,,,,,,,,,,,,,,,,,,,,,,,
8670 SW Comanche Way,https://www.redfin.com/OR/Tualatin/8670-SW-Comanche-Way-97062/home/26590209,"$530,000",3,2.5,"1,544",2,Attached,2,Electricity,Yes,1,Crawl Space,Shingle,"6,970 square feet",Residential,"1,544",No,1971,Gas,Public Sewer,Yes,No,—,Single Family Residential,1974,Washington County,No,"Driveway, On Street",,"6,969"
10677 SW Bannoch St,https://www.redfin.com/OR/Tualatin/10677-SW-Bannoch-St-97062/home/25742035,"$719,900",5,2.5,"2,421",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"9,148 square feet",Residential,"1,149",No,1989,Gas,Public Sewer,Yes,No,—,Single Family Residential,1994,Washington County,No,RV Access/Parking,,"9,147"
23320 SW Vermillion Dr Unit H106,https://www.redfin.com/OR/Tualatin/23320-SW-Vermillion-Dr-97062/unit-H106/home/192618718,"$474,900",4,2.5,"1,999",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,808,Yes,—,Gas,Public Sewer,No,No,—,Townhouse,—,Washington County,Yes,Driveway,Yes,
7147 SW Sagert St #104,https://www.redfin.com/OR/Tualatin/7147-SW-Sagert-St-97062/unit-104/home/26595144,"$315,000",2,2.5,"1,129",1,Attached,1,"Electricity, Tank",,,,Composition,—,Residential,485,No,1996,Electricity,"All Landscaping, Cable TV, Commons, Gym, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Sewer, Spa/Hot Tub, Trash, Water, Weight Room",No,No,—,Condo/Co-op,2012,Washington County,No,Driveway,Yes,
21797 SW Oak Hill Ln,https://www.redfin.com/OR/Tualatin/21797-SW-Oak-Hill-Ln-97062/home/143066553,"$2,255,000",4,3.5,"6,904",3,Attached,3,Gas,Yes,4,Crawl Space,Tile,5.55 acres,Residential,"4,776",Yes,1984,"Electricity, Gas",Septic Tank,Yes,No,1.0,Single Family Residential,—,Clackamas County,No,"Driveway, RV Access/Parking",,"241,758"
8775 SW Hupa Ln,https://www.redfin.com/OR/Tualatin/8775-SW-Hupa-Ln-97062/home/188818797,"$579,900",4,2,"1,659",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,436 square feet,Residential,"1,659",No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
21129 SW 90th Ave,https://www.redfin.com/OR/Tualatin/21129-SW-90th-Ave-97062/home/26732178,"$535,000",4,2.5,"1,906",2,Attached,2,Electricity,Yes,1,Crawl Space,Composition,"7,841 square feet",Residential,988,No,1979,Gas,Public Sewer,No,No,—,Single Family Residential,1990,Washington County,No,"Driveway, On Street",,"7,840"
23230 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23230-SW-Vermillion-Dr-97062/home/188818825,"$419,900",3,2.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"3,049 square feet",Residential,662,Yes,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
8675 SW Sagert St,https://www.redfin.com/OR/Tualatin/8675-SW-Sagert-St-97062/home/26602589,"$655,000",3,2.5,"2,187",3,"Attached, Extra Deep, Oversized",3,"ENERGY STAR Qualified Equipment, Gas",Yes,1,,Composition,"8,276 square feet",Residential,"2,165",No,2006,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,2006,Washington County,No,"Driveway, RV Access/Parking",,"8,276"
23310 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23310-SW-Vermillion-Dr-97062/home/188818831,"$427,400",3,2.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"3,049 square feet",Residential,662,Yes,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
23250 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23250-SW-Vermillion-Dr-97062/home/188818827,"$489,900",3,2.5,"2,004",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"3,049 square feet",Residential,810,No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,"3,049"
21486 SW Alsea Ct,https://www.redfin.com/OR/Tualatin/21486-SW-Alsea-Ct-97062/home/26610083,"$569,999",3,2,"1,596",2,Attached,2,Electricity,Yes,2,"Crawl Space, Unfinished",Composition,"8,712 square feet",Residential,"1,596",Yes,1976,Electricity,Public Sewer,Yes,No,—,Single Family Residential,1976,Washington County,No,Driveway,,"8,712"
10354 SW Koso St,https://www.redfin.com/OR/Tualatin/10354-SW-Koso-St-97062/home/25750361,"$805,000",4,2.5,"3,409",3,Attached,3,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,"1,523",No,2006,Gas,Public Sewer,Yes,No,—,Single Family Residential,2006,Washington County,No,Driveway,Yes,"6,098"
9885 SW Iowa Dr,https://www.redfin.com/OR/Tualatin/9885-SW-Iowa-Dr-97062/home/77618938,"$906,000",3,2.5,"2,449",2,"Attached, Extra Deep",2,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,"2,449",No,2015,Gas,Public Sewer,Yes,No,—,Single Family Residential,2015,Washington County,No,Driveway,,"6,098"
23241 SW Darby Ave,https://www.redfin.com/OR/Tualatin/23241-SW-Darby-Ave-97062/home/188818780,"$654,400",3,2.5,"2,557",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"5,227 square feet",Residential,"1,710",No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,"5,227"
9157 SW Talawa Dr,https://www.redfin.com/OR/Tualatin/9157-SW-Talawa-Dr-97062/home/26728747,"$535,000",3,2,"1,192",2,"Attached, Oversized",2,"Electricity, Tank",Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,192",No,1978,Electricity,Public Sewer,Yes,No,—,Single Family Residential,1990,Washington County,No,"Driveway, RV Access/Parking",,"6,969"
7137 SW Delaware St,https://www.redfin.com/OR/Tualatin/7137-SW-Delaware-St-97062/home/26723319,"$542,000",3,2,"1,470",2,Attached,2,Gas,Yes,1,,Composition,"7,405 square feet",Residential,"1,470",No,1979,Gas,Public Sewer,Yes,No,—,Single Family Residential,1984,Washington County,No,Driveway,,
23427 SW Darby Ave,https://www.redfin.com/OR/Tualatin/23427-SW-Darby-Ave-97062/home/193302472,"$884,971",5,3,"2,685",3,Tandem,3,Tankless,Yes,1,,Composition,—,Residential,"2,032",No,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
17920 SW 112th Ave,https://www.redfin.com/OR/Tualatin/17920-SW-112th-Ave-97062/home/26703982,"$595,000",4,2.5,"1,915",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"4,792 square feet",Residential,"1,000",Yes,1993,Gas,Public Sewer,Yes,No,—,Single Family Residential,1993,Washington County,No,"Driveway, On Street",Yes,"4,791"
21675 SW Aspen Pl,https://www.redfin.com/OR/Tualatin/21675-SW-Aspen-Pl-97062/home/26565779,"$591,000",3,2.5,"2,165",2,Attached,2,Electricity,Yes,1,Crawl Space,Composition,"6,534 square feet",Residential,"2,165",No,2001,Gas,Public Sewer,Yes,No,—,Single Family Residential,2001,Washington County,No,Driveway,,"6,534"
20046 SW 69th St,https://www.redfin.com/OR/Tualatin/20046-SW-69th-St-97062/home/26658574,"$670,000",3,2.5,"1,492",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,692,No,1987,Gas,Public Sewer,Yes,No,—,Single Family Residential,2000,Washington County,No,Driveway,,"6,098"
7247 SW Tenino Ln,https://www.redfin.com/OR/Tualatin/7247-SW-Tenino-Ln-97062/home/26703740,"$636,000",3,2.5,"2,071",2,"Attached, Oversized",2,Gas,Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,070",No,1985,Gas,Public Sewer,Yes,No,—,Single Family Residential,2000,Washington County,No,RV Access/Parking,,"6,969"
7157 SW Sagert St #107,https://www.redfin.com/OR/Tualatin/7157-SW-Sagert-St-97062/unit-107/home/26641004,"$320,000",2,2.5,"1,129",1,Attached,1,Electricity,,,,Composition,—,Residential,485,No,1996,Electricity,"Cable TV, Commons, Exterior Maintenance, Gym, Maintenance Grounds, Management, Meeting Room, Party Room, Pool, Recreation Facilities, Road Maintenance, Sewer, Spa/Hot Tub, Trash, Utilities, Water, Weight Room",No,No,—,Condo/Co-op,1996,Washington County,No,"Driveway, Off Street",Yes,
8232 SW Shenandoah Way,https://www.redfin.com/OR/Tualatin/8232-SW-Shenandoah-Way-97062/home/26627889,"$300,000",3,1.5,"1,027",1,Other,1,Electricity,,,Crawl Space,Composition,—,Residential,"1,027",Yes,1972,Electricity,"Commons, Exterior Maintenance, Management, Sewer, Trash, Water",No,,—,Condo/Co-op,1972,Washington County,No,Driveway,Yes,
21208 SW Arapaho Ct,https://www.redfin.com/OR/Tualatin/21208-SW-Arapaho-Ct-97062/home/26687220,"$699,900",4,2.5,"1,969",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"8,276 square feet",Residential,"1,969",No,1976,Gas,Public Sewer,No,No,—,Single Family Residential,1996,Washington County,No,"Driveway, On Street",,"8,276"
8875 SW Nisqually,https://www.redfin.com/OR/Tualatin/8875-SW-Nisqually-Ct-97062/home/26728776,"$569,000",4,3,"1,824",2,Attached,2,Electricity,Yes,2,Daylight,Composition,0.29 acres,Residential,"1,152",No,1972,Gas,Public Sewer,Yes,No,—,Single Family Residential,1992,Washington County,No,Driveway,,"12,632"
9776 SW Tualatin Rd,https://www.redfin.com/OR/Tualatin/9776-SW-Tualatin-Rd-97062/home/26620009,"$275,000",2,1,"1,072",1,Other,1,Electricity,,,,Composition,—,Residential,"1,072",No,1981,Electricity,"Exterior Maintenance, Management, Sewer, Trash, Water",No,,—,Condo/Co-op,1981,Washington County,No,Other,Yes,
23180 SW Vermillion Dr Unit HS94,https://www.redfin.com/OR/Tualatin/23180-SW-Vermillion-Dr-97062/unit-HS94/home/191073055,"$490,900",3,2.5,"2,004",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,810,No,—,Gas,Public Sewer,No,No,—,Townhouse,—,Washington County,Yes,Driveway,Yes,
9215 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9215-SW-Stono-Dr-97062/home/26683153,"$670,000",3,2.5,"2,254",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,061",No,1995,Gas,Public Sewer,Yes,No,—,Single Family Residential,1995,Washington County,No,"Driveway, On Street",,"6,969"
9495 SW Cherry Ln,https://www.redfin.com/OR/Tualatin/9495-SW-Cherry-Ln-97062/home/26665014,"$655,000",4,2.5,"2,251",2,Attached,2,Electricity,Yes,1,Crawl Space,"Composition, Shingle",—,Residential,"1,079",No,1996,Gas,Public Sewer,Yes,No,—,Condo/Co-op,1996,Washington County,No,"Driveway, On Street",Yes,
23307 SW Darby Ave,https://www.redfin.com/OR/Tualatin/23307-SW-Darby-Ave-97062/home/188818783,"$648,400",3,2.5,"2,557",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"5,227 square feet",Residential,"1,710",No,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,Driveway,Yes,
9280 SW Stono Dr,https://www.redfin.com/OR/Tualatin/9280-SW-Stono-Dr-97062/home/25769983,"$579,999",4,2.5,"1,857",2,"Attached, Oversized",2,Gas,Yes,1,Crawl Space,"Composition, Shingle","8,276 square feet",Residential,855,Yes,1996,Gas,Public Sewer,Yes,No,—,Single Family Residential,2010,Washington County,No,"Driveway, On Street",,"8,276"
13464 SW Ute St,https://www.redfin.com/OR/Tualatin/13464-SW-Ute-St-97062/home/26691599,"$500,000",3,2,"1,737",,,,,,,,,"5,663 square feet",,,,1996,,,,,—,Single Family Residential,1996,Washington County,,,,
23445 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23445-SW-Vermillion-Dr-97062/home/188640900,"$623,400",4,2.5,"2,479",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,—,Residential,"1,012",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
23511 SW Landon Pl,https://www.redfin.com/OR/Tualatin/23511-SW-Landon-Pl-97062/home/193303530,"$853,064",6,3,"3,085",2,"Attached, Extra Deep, Oversized",2,Tankless,Yes,1,,Composition,—,Residential,"1,272",No,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8850 SW Puyallup Ln,https://www.redfin.com/OR/Tualatin/8850-SW-Puyallup-Ln-97062/home/193329716,"$849,022",5,3,"3,171",2,Extra Deep,2,Tankless,Yes,1,,Composition,—,Residential,"1,343",Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
8285 SW Chelan St,https://www.redfin.com/OR/Tualatin/8285-SW-Chelan-St-97062/home/26687789,"$489,000",3,1,"1,034",2,"Attached, Oversized",2,Gas,Yes,1,Crawl Space,Composition,"7,405 square feet",Residential,520,No,1981,Gas,Public Sewer,Yes,No,—,Single Family Residential,1981,Washington County,No,"Driveway, On Street",,"6,969"
6323 SW Delker Rd,https://www.redfin.com/OR/Tualatin/6323-SW-Delker-Rd-97062/home/165857677,"$2,325,000",5,3.5,"4,191",2,Attached,2,"Gas, Tankless",Yes,3,Crawl Space,Metal,4.92 acres,Residential,"1,960",Yes,1984,Gas,Septic Tank,Yes,No,2.0,Single Family Residential,—,Clackamas County,No,"Driveway, Parking Pad",,"214,315"
21867 SW Dakota Dr,https://www.redfin.com/OR/Tualatin/21867-SW-Dakota-Dr-97062/home/26594962,"$499,000",3,2,"1,521",2,Attached,2,"Gas, Tank",Yes,1,Crawl Space,Composition,"6,970 square feet",Residential,"1,521",No,1980,Gas,Public Sewer,Yes,No,—,Single Family Residential,1980,Washington County,No,,,"6,969"
23481 SW Darby Ave,https://www.redfin.com/OR/Tualatin/23481-SW-Darby-Ave-97062/home/191549586,"$662,900",5,3,"2,610",2,Attached,2,ENERGY STAR Qualified Equipment,Yes,1,Crawl Space,Composition,—,Residential,"1,467",No,—,Gas,Public Sewer,No,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
23477 SW Landon Pl,https://www.redfin.com/OR/Tualatin/23477-SW-Landon-PL-97062/home/190511489,"$761,500",5,3,"2,793",3,Tandem,3,Tankless,Yes,1,,Composition,—,Residential,"1,152",Yes,—,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,—,Washington County,Yes,Driveway,Yes,
23220 SW Vermillion Dr,https://www.redfin.com/OR/Tualatin/23220-SW-Vermillion-Dr-97062/home/188818824,"$423,400",3,3.5,"1,722",2,Attached,2,"Gas, Tankless",Yes,1,Crawl Space,Composition,"3,049 square feet",Residential,662,Yes,—,Gas,Public Sewer,No,No,—,Other,—,Washington County,Yes,,Yes,
24411 SW Stafford Rd,https://www.redfin.com/OR/Tualatin/24411-SW-Stafford-Rd-97062/home/25911760,"$815,000",4,2,"2,034",,"Attached, Carport",,Electricity,Yes,2,"Exterior Entry, Finished, Separate Living Quarters/Apartment/Aux Living Unit",Membrane,1.69 acres,Residential,"1,017",Yes,1970,Electricity,Septic Tank,Yes,No,1.0,Single Family Residential,—,Clackamas County,No,"Carport, Covered",,"73,616"
20918 SW Winema Ct,https://www.redfin.com/OR/Tualatin/20918-SW-Winema-Ct-97062/home/26689187,"$566,000",3,2.5,"1,728",2,"Attached, Tuck-Under",2,Gas,Yes,2,Partially Finished,Composition,"9,583 square feet",Residential,"1,440",Yes,1978,Gas,Public Sewer,Yes,No,—,Single Family Residential,1983,Washington County,No,"Driveway, RV Access/Parking",,"9,583"
8294 SW Mohawk St,https://www.redfin.com/OR/Tualatin/8294-SW-Mohawk-St-97062/home/26664334,"$227,500",2,1,904,,Deeded,,Electricity,Yes,1,,Composition,—,Residential,904,No,1980,Electricity,"All Landscaping, Commons, Exterior Maintenance, Front Yard Landscaping, Internet, Management, Pool, Sewer, Trash, Water",No,No,—,Condo/Co-op,1985,Washington County,No,Deeded,Yes,
9435 SW Siletz Dr,https://www.redfin.com/OR/Tualatin/9435-SW-Siletz-Dr-97062/home/26689642,"$575,000",4,3,"2,210",2,Attached,2,Gas,Yes,2,"Daylight, Finished",Composition,"6,970 square feet",Residential,"1,378",No,1978,Gas,Public Sewer,Yes,No,—,Single Family Residential,1985,Washington County,No,Driveway,,"6,969"
21172 SW Iroquois Dr,https://www.redfin.com/OR/Tualatin/21172-SW-Iroquois-Dr-97062/home/26730593,"$552,500",3,2,"1,386",2,Attached,2,Gas,Yes,1,Crawl Space,"Composition, Shingle","7,405 square feet",Residential,"1,386",No,1979,Gas,Public Sewer,Yes,No,—,Single Family Residential,1989,Washington County,No,"Driveway, On Street",,
7380 SW Norwood Rd,https://www.redfin.com/OR/Tualatin/7380-SW-Norwood-Rd-97062/home/26556360,"$1,526,000",6,5,"5,616",7,"Attached, Detached, Oversized",7,Electricity,Yes,2,Yes,Composition,5 acres,Residential,"3,062",Yes,2003,"Electricity, Gas",Septic Tank,Yes,No,—,Single Family Residential,2021,Washington County,No,"RV Access/Parking, Secured",,"217,800"
10345 SW 103rd Ct,https://www.redfin.com/OR/Tualatin/10345-SW-103rd-Ct-97062/home/26684318,"$660,000",3,2.5,"1,698",2,Attached,2,Electricity,Yes,1,Crawl Space,Composition,"9,148 square feet",Residential,900,No,1976,"Electricity, Gas",Public Sewer,Yes,No,—,Single Family Residential,1976,Washington County,No,"Driveway, On Street",,"9,147"
20020 SW 94th Pl,https://www.redfin.com/OR/Tualatin/20020-SW-94th-Pl-97062/home/184150716,"$1,040,000",5,3.5,"3,004",2,Attached,2,Gas,Yes,1,Crawl Space,Composition,"6,098 square feet",Residential,"1,444",Yes,—,Gas,Public Sewer,Yes,No,—,Other,—,Washington County,Yes,Driveway,,"6,098"
